Player	season	compound_mean_mean	compound_mean_std	user_count	Race	From	To	Pos_x	Ht	Wt	Birth Date	Colleges	Rk	Pos_y	Age	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRBP	ASTP	STLP	BLKP	TOVP	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	Tm	FG	FGA	FG%	3P	3PA	ThreePP	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PPG	year	Wins	total_population	metro_percent_white	metro_percent_black	clinton_vote_lead	salary	standard_salary	experience	youth	oldness	rookie	white_black_diff	height_dummies
abdel nader	2017	0.07605065333333336	0.41461594956256925	125	R	2018.0	2018.0	F	78.0	230.0	September 25, 1993	Northern Illinois University, Iowa State University	363.0	SF	24.0	48.0	522.0	5.1	0.439	0.436	0.262	2.8	12.0	7.4	7.1	1.4	1.6	17.0	17.1	-0.9	0.8	-0.1	-0.014	-5.9	0.3	-5.6	-0.5	BOS	1.0	3.1	0.336	0.5	1.4	0.354	0.6	1.8	0.321	0.413	0.5	0.8	0.59	0.3	1.2	1.5	0.5	0.3	0.2	0.7	0.9	3.0	2018.0	55.0	4728844.0	77.3	8.0	0.3815	1167333.0	32.869923305374385	0.0	2.733397037744865	0.0	True	69.3	medium
adreian payne	2014	0.32952727272727284	0.30603070463895965	11	B	2015.0	2018.0	F-C	82.0	237.0	February 19, 1991	Michigan State University	362.0	PF	23.0	32.0	739.0	7.7	0.443	0.041	0.209	7.2	18.2	12.5	6.4	1.3	1.0	15.5	17.0	-0.7	0.2	-0.5	-0.033	-4.6	-1.3	-5.9	-0.7	MIN	2.8	6.9	0.414	0.0	0.3	0.111	2.8	6.6	0.4270000000000001	0.416	0.9	1.4	0.652	1.5	3.6	5.1	0.9	0.6	0.3	1.4	2.8	6.7	2015.0	16.0	3488436.0	80.3	7.8	0.3531	1855320.0	36.906656822549465	0.0	3.733397037744865	0.0	True	72.5	tall
adreian payne	2015	-0.16040833333333335	0.37936422761901223	12	B	2015.0	2018.0	F-C	82.0	237.0	February 19, 1991	Michigan State University	349.0	PF	24.0	52.0	486.0	5.6	0.422	0.221	0.179	4.8	21.5	13.3	8.9	1.7	1.8	18.7	17.7	-0.9	0.4	-0.5	-0.047	-5.9	-0.2	-6.1	-0.5	MIN	1.0	2.8	0.366	0.2	0.6	0.281	0.8	2.2	0.389	0.397	0.3	0.5	0.654	0.4	1.8	2.1	0.6	0.3	0.2	0.7	1.5	2.5	2016.0	29.0	3488436.0	80.3	7.8	0.3531	1938840.0	37.31517586344842	1.0	2.733397037744865	0.0	True	72.5	tall
al harrington	2013	-0.01875067567567568	0.47518771292710416	37	B	1999.0	2014.0	F	81.0	230.0	February 17, 1980		189.0	PF	33.0	34.0	511.0	9.7	0.506	0.483	0.16899999999999998	3.3	15.0	9.1	8.7	1.4	0.0	13.3	22.7	-0.2	0.5	0.4	0.035	-2.2	-2.4	-4.6	-0.3	WAS	2.4	6.1	0.396	1.0	2.9	0.34	1.4	3.1	0.449	0.478	0.8	1.0	0.7709999999999999	0.4	1.9	2.4	0.8	0.4	0.0	1.0	2.1	6.6	2014.0	44.0	6011752.0	55.1	25.4	0.3622	8548107.0	54.071384200459995	15.0	0.0	6.266602962255135	False	29.700000000000003	tall
al horford	2013	0.20907206349206353	0.36605321735136825	138	B	2008.0	2018.0	C-F	82.0	245.0	June 3, 1986	University of Florida	212.0	C	27.0	29.0	958.0	22.0	0.588	0.026	0.202	8.0	21.4	14.8	15.2	1.4	3.6	12.3	24.7	1.5	1.3	2.8	0.141	0.8	2.0	2.8	1.1	ATL	8.2	14.5	0.5670000000000001	0.1	0.4	0.364	8.1	14.1	0.5720000000000001	0.5710000000000001	2.0	2.9	0.682	2.3	6.1	8.4	2.6	0.9	1.5	2.2	1.9	18.6	2014.0	38.0	5612777.0	55.1	33.5	0.4212	12000000.0	58.85661912765424	6.0	0.0	0.2666029622551349	False	21.6	tall
al horford	2014	0.10670047203420026	0.3945134720457806	401	B	2008.0	2018.0	C-F	82.0	245.0	June 3, 1986	University of Florida	222.0	C	28.0	76.0	2318.0	21.4	0.563	0.037000000000000005	0.146	6.7	19.8	13.4	18.6	1.5	3.5	8.9	22.2	5.1	3.6	8.7	0.179	1.3	2.5	3.8	3.4	ATL	6.8	12.7	0.5379999999999999	0.1	0.5	0.306	6.7	12.2	0.547	0.544	1.4	1.9	0.759	1.7	5.4	7.2	3.2	0.9	1.3	1.3	1.6	15.2	2015.0	60.0	5612777.0	55.1	33.5	0.4212	12000000.0	58.85661912765424	7.0	0.0	1.266602962255135	False	21.6	tall
al horford	2015	0.16633821798014556	0.3984666659125319	332	B	2008.0	2018.0	C-F	82.0	245.0	June 3, 1986	University of Florida	207.0	C	29.0	82.0	2631.0	19.4	0.565	0.244	0.123	6.3	18.2	12.4	16.7	1.3	3.6	8.8	20.6	4.9	4.5	9.4	0.172	1.5	2.6	4.1	4.1	ATL	6.5	12.8	0.505	1.1	3.1	0.344	5.4	9.7	0.557	0.547	1.3	1.6	0.7979999999999999	1.8	5.5	7.3	3.2	0.8	1.5	1.3	2.0	15.2	2016.0	48.0	5612777.0	55.1	33.5	0.4212	12000000.0	58.85661912765424	8.0	0.0	2.266602962255135	False	21.6	tall
al horford	2016	0.09368527269016248	0.42064549650532823	668	B	2008.0	2018.0	C-F	82.0	245.0	June 3, 1986	University of Florida	203.0	C	30.0	68.0	2193.0	17.7	0.5529999999999999	0.302	0.16899999999999998	4.9	18.6	11.8	24.4	1.2	3.2	11.8	19.7	3.6	2.7	6.3	0.138	1.0	2.0	3.1	2.8	BOS	5.6	11.8	0.473	1.3	3.6	0.355	4.3	8.2	0.524	0.527	1.6	2.0	0.8	1.4	5.4	6.8	5.0	0.8	1.3	1.7	2.0	14.0	2017.0	53.0	4728844.0	77.3	8.0	0.3815	26540100.0	71.77540285142128	9.0	0.0	3.266602962255135	False	69.3	tall
al horford	2017	0.1511747096527926	0.40845915954145745	1044	B	2008.0	2018.0	C-F	82.0	245.0	June 3, 1986	University of Florida	227.0	C	31.0	72.0	2277.0	17.6	0.575	0.3	0.159	5.0	20.2	12.7	23.6	0.9	2.9	14.1	18.4	4.0	3.8	7.8	0.165	1.1	2.9	4.0	3.5	BOS	5.1	10.5	0.489	1.3	3.1	0.429	3.8	7.3	0.514	0.5529999999999999	1.3	1.7	0.7829999999999999	1.4	5.9	7.4	4.7	0.6	1.1	1.8	1.9	12.9	2018.0	55.0	4728844.0	77.3	8.0	0.3815	27734405.0	72.5695973291187	10.0	0.0	4.266602962255135	False	69.3	tall
al jefferson	2014	0.085475288140734	0.4600070546507523	157	B	2005.0	2018.0	C-F	82.0	289.0	January 4, 1985		236.0	C	30.0	65.0	1992.0	19.7	0.5	0.005	0.163	5.3	25.5	15.1	11.6	1.2	3.3	5.9	26.3	1.3	3.4	4.7	0.113	-1.3	1.6	0.2	1.1	CHO	7.5	15.5	0.481	0.0	0.1	0.4	7.4	15.5	0.482	0.482	1.7	2.5	0.655	1.5	6.9	8.4	1.7	0.7	1.3	1.0	2.1	16.6	2015.0	33.0	2381152.0	68.4	22.2	0.2987	13500000.0	60.6154651402987	10.0	0.0	3.266602962255135	False	46.2	tall
al jefferson	2015	0.10089175017895491	0.4200414901533043	127	B	2005.0	2018.0	C-F	82.0	289.0	January 4, 1985		222.0	C	31.0	47.0	1096.0	18.2	0.507	0.0	0.22	5.6	24.6	15.0	11.8	1.4	3.0	5.8	24.2	1.0	1.8	2.8	0.123	-2.3	1.2	-1.1	0.2	CHO	5.2	10.7	0.485	0.0	0.0	0.3039339968569935	5.2	10.7	0.485	0.485	1.5	2.4	0.649	1.2	5.2	6.4	1.5	0.6	0.9	0.7	2.5	12.0	2016.0	48.0	2381152.0	68.4	22.2	0.2987	13500000.0	60.6154651402987	11.0	0.0	4.266602962255135	False	46.2	tall
al jefferson	2016	0.05578124052168639	0.44129193940726696	157	B	2005.0	2018.0	C-F	82.0	289.0	January 4, 1985		221.0	C	32.0	66.0	931.0	18.9	0.526	0.002	0.18	9.2	24.2	16.8	11.0	1.0	1.5	6.1	26.1	1.2	1.1	2.3	0.119	-1.5	-1.5	-3.1	-0.2	IND	3.6	7.1	0.499	0.0	0.0	0.0	3.6	7.1	0.5	0.499	1.0	1.3	0.765	1.1	3.1	4.2	0.9	0.3	0.2	0.5	1.9	8.1	2017.0	42.0	1968768.0	77.4	14.9	0.2283	10230179.0	56.55497414585314	12.0	0.0	5.266602962255135	False	62.50000000000001	tall
al jefferson	2017	0.13084073275862068	0.471418650326149	116	B	2005.0	2018.0	C-F	82.0	289.0	January 4, 1985		250.0	C	33.0	36.0	484.0	20.2	0.563	0.014	0.173	7.0	26.2	16.7	10.0	1.7	4.2	8.6	22.5	0.8	0.8	1.6	0.158	-1.7	1.3	-0.5	0.2	IND	3.1	5.8	0.534	0.0	0.1	0.0	3.1	5.7	0.541	0.534	0.8	1.0	0.833	0.8	3.1	4.0	0.8	0.4	0.6	0.6	1.8	7.0	2018.0	48.0	1968768.0	77.4	14.9	0.2283	9769821.0	55.907703296590604	13.0	0.0	6.266602962255135	False	62.50000000000001	tall
al-farouq aminu	2013	0.13454380952380954	0.34992291958602817	26	B	2011.0	2018.0	F	81.0	220.0	September 21, 1990	Wake Forest University	11.0	SF	23.0	80.0	2045.0	13.2	0.516	0.097	0.277	7.2	21.2	14.1	8.4	2.1	1.6	13.7	14.3	1.3	1.8	3.1	0.07200000000000001	-1.4	1.0	-0.3	0.9	NOP	2.9	6.2	0.474	0.2	0.6	0.271	2.8	5.6	0.496	0.487	1.1	1.7	0.664	1.6	4.6	6.2	1.4	1.0	0.5	1.1	1.8	7.2	2014.0	34.0	1250247.0	58.2	34.9	0.66	3700000.0	43.858162366509774	3.0	3.733397037744865	0.0	False	23.300000000000004	tall
al-farouq aminu	2014	0.19120549084595964	0.3928081862514234	96	B	2011.0	2018.0	F	81.0	220.0	September 21, 1990	Wake Forest University	12.0	SF	24.0	74.0	1366.0	14.4	0.504	0.34700000000000003	0.331	9.1	18.4	13.7	6.1	2.6	3.7	11.9	15.2	1.2	2.0	3.3	0.115	-0.5	2.9	2.4	1.5	DAL	2.0	4.8	0.412	0.5	1.7	0.274	1.5	3.1	0.485	0.459	1.1	1.6	0.7120000000000001	1.5	3.1	4.6	0.8	0.9	0.8	0.7	1.9	5.6	2015.0	50.0	6957123.0	69.7	15.3	0.2624	981084.0	31.47215984044849	4.0	2.733397037744865	0.0	False	54.400000000000006	tall
al-farouq aminu	2015	0.05672476638001638	0.42568585693236205	185	B	2011.0	2018.0	F	81.0	220.0	September 21, 1990	Wake Forest University	11.0	SF	25.0	82.0	2341.0	12.7	0.5329999999999999	0.485	0.217	4.5	18.6	11.5	8.8	1.5	1.8	13.2	16.9	1.7	2.3	4.0	0.08199999999999999	-0.4	0.7	0.2	1.3	POR	3.6	8.8	0.416	1.5	4.3	0.361	2.1	4.5	0.468	0.503	1.4	1.9	0.737	1.2	4.9	6.1	1.7	0.9	0.6	1.5	2.1	10.2	2016.0	44.0	2351319.0	81.9	2.8	0.5833	8042895.0	53.25410616746225	5.0	1.733397037744865	0.0	False	79.10000000000001	tall
al-farouq aminu	2016	0.04430377392423571	0.43089380938833977	157	B	2011.0	2018.0	F	81.0	220.0	September 21, 1990	Wake Forest University	10.0	PF	26.0	61.0	1773.0	11.3	0.506	0.455	0.292	4.8	23.5	14.1	7.9	1.7	2.0	15.2	15.4	-0.1	2.0	1.9	0.051	-2.3	1.2	-1.1	0.4	POR	3.0	7.6	0.393	1.1	3.5	0.33	1.9	4.2	0.445	0.468	1.6	2.2	0.706	1.3	6.1	7.4	1.6	1.0	0.7	1.5	1.7	8.7	2017.0	41.0	2351319.0	81.9	2.8	0.5833	7680965.0	52.64461410089272	6.0	0.7333970377448651	0.0	False	79.10000000000001	tall
al-farouq aminu	2017	0.12818441479400755	0.399522941794246	178	B	2011.0	2018.0	F	81.0	220.0	September 21, 1990	Wake Forest University	11.0	PF	27.0	69.0	2072.0	12.0	0.522	0.5820000000000001	0.13699999999999998	5.2	22.3	13.8	5.8	1.9	1.6	11.3	14.8	0.9	3.2	4.2	0.097	-0.8	1.9	1.1	1.6	POR	3.3	8.4	0.395	1.8	4.9	0.369	1.5	3.5	0.4320000000000001	0.503	0.9	1.2	0.738	1.4	6.2	7.6	1.2	1.1	0.6	1.1	2.0	9.3	2018.0	49.0	2351319.0	81.9	2.8	0.5833	7319035.0	52.013185911691274	7.0	0.0	0.2666029622551349	False	79.10000000000001	tall
alan anderson	2013	-0.07034347826086952	0.5206744346396812	23	B	2006.0	2017.0	G-F	78.0	220.0	October 16, 1982	Michigan State University	14.0	SF	31.0	78.0	1773.0	9.5	0.525	0.511	0.243	2.7	9.1	5.9	7.3	1.4	0.5	10.4	15.9	0.8	0.9	1.7	0.047	-0.8	-1.4	-2.2	-0.1	BRK	2.5	6.2	0.4	1.1	3.2	0.339	1.4	3.0	0.464	0.487	1.2	1.5	0.78	0.5	1.7	2.2	1.0	0.6	0.1	0.8	1.9	7.2	2014.0	44.0	20031443.0	58.7	17.1	0.6183	947907.0	31.202646620246128	8.0	0.0	4.266602962255135	False	41.6	medium
alan anderson	2014	-0.04345000000000001	0.42825231523016893	21	B	2006.0	2017.0	G-F	78.0	220.0	October 16, 1982	Michigan State University	15.0	SG	32.0	74.0	1744.0	10.6	0.563	0.477	0.23	2.0	11.1	6.6	7.2	1.7	0.2	11.0	14.2	1.7	1.1	2.7	0.075	0.0	-0.5	-0.5	0.6	BRK	2.6	5.9	0.443	1.0	2.8	0.348	1.6	3.1	0.53	0.526	1.1	1.4	0.812	0.4	2.3	2.8	1.1	0.8	0.1	0.8	2.0	7.4	2015.0	38.0	20031443.0	58.7	17.1	0.6183	1276061.0	33.609949420675036	9.0	0.0	5.266602962255135	False	41.6	medium
alan anderson	2015	0.01629999999999999	0.4559676186208504	14	B	2006.0	2017.0	G-F	78.0	220.0	October 16, 1982	Michigan State University	14.0	SG	33.0	13.0	192.0	9.2	0.495	0.627	0.254	0.6	15.5	7.9	10.3	1.0	0.4	3.0	15.4	0.2	0.2	0.3	0.078	-1.2	-1.7	-2.8	0.0	WAS	1.6	4.5	0.35600000000000004	0.9	2.8	0.324	0.7	1.7	0.409	0.458	0.8	1.2	0.733	0.1	2.0	2.1	1.1	0.3	0.1	0.2	1.9	5.0	2016.0	41.0	6011752.0	55.1	25.4	0.3622	4000000.0	44.721359549995796	10.0	0.0	6.266602962255135	False	29.700000000000003	medium
alan williams	2016	0.3381948717948718	0.27016429555342863	13	B	2016.0	2018.0	F-C	80.0	260.0	January 28, 1993	University of California, Santa Barbara	464.0	C	24.0	47.0	708.0	19.5	0.547	0.004	0.419	14.0	31.2	22.4	5.2	1.8	3.7	10.5	20.9	1.1	0.9	2.1	0.142	-1.8	0.1	-1.7	0.1	PHO	2.9	5.7	0.517	0.0	0.0	0.0	2.9	5.7	0.519	0.517	1.5	2.4	0.625	2.0	4.2	6.2	0.5	0.6	0.7	0.8	2.7	7.4	2017.0	24.0	4486153.0	78.7	5.2	0.0345	874636.0	30.58136295638701	1.0	2.733397037744865	0.0	True	73.5	tall
alec burks	2013	0.2637411458333334	0.36929652593521695	32	B	2012.0	2018.0	G	78.0	214.0	July 20, 1991	University of Colorado	73.0	SG	22.0	78.0	2193.0	15.8	0.547	0.172	0.449	3.0	10.7	6.8	16.9	1.7	0.5	13.0	23.9	2.6	0.6	3.2	0.07	0.5	-1.7	-1.2	0.5	UTA	4.9	10.7	0.457	0.6	1.8	0.35	4.2	8.8	0.48	0.487	3.6	4.8	0.748	0.8	2.5	3.3	2.7	0.9	0.2	1.9	2.4	14.0	2014.0	25.0	1154504.0	81.7	1.6	0.1022	2323200.0	39.04106441505677	2.0	4.733397037744865	0.0	False	80.10000000000001	medium
alec burks	2014	0.10884027777777776	0.44886340392267904	40	B	2012.0	2018.0	G	78.0	214.0	July 20, 1991	University of Colorado	72.0	SG	23.0	27.0	899.0	13.0	0.524	0.227	0.43	2.5	12.1	7.3	15.2	1.0	0.4	12.7	20.8	1.1	0.6	1.7	0.08900000000000001	-0.4	-1.1	-1.6	0.1	UTA	4.5	11.1	0.403	1.0	2.5	0.382	3.5	8.6	0.409	0.447	3.9	4.8	0.8220000000000001	0.7	3.5	4.2	3.0	0.6	0.2	1.9	2.4	13.9	2015.0	38.0	1154504.0	81.7	1.6	0.1022	3201369.0	42.29937337852567	3.0	3.733397037744865	0.0	False	80.10000000000001	medium
alec burks	2015	0.16436994318181827	0.320829149938235	48	B	2012.0	2018.0	G	78.0	214.0	July 20, 1991	University of Colorado	70.0	SG	24.0	31.0	797.0	14.3	0.52	0.237	0.422	2.4	13.6	8.0	13.9	1.2	0.4	11.4	25.9	0.7	0.8	1.5	0.09	-0.9	-1.6	-2.5	-0.1	UTA	4.4	10.8	0.41	1.0	2.5	0.405	3.4	8.2	0.412	0.458	3.4	4.5	0.752	0.5	3.0	3.5	2.0	0.6	0.1	1.6	2.3	13.3	2016.0	40.0	1154504.0	81.7	1.6	0.1022	9213484.0	55.09421145038964	4.0	2.733397037744865	0.0	False	80.10000000000001	medium
alec burks	2016	0.12666631700023004	0.35055376452358755	69	B	2012.0	2018.0	G	78.0	214.0	July 20, 1991	University of Colorado	65.0	SG	25.0	42.0	653.0	11.6	0.501	0.306	0.315	3.1	17.7	10.6	7.5	1.4	0.6	11.0	22.7	-0.1	0.9	0.8	0.056	-3.3	-0.9	-4.2	-0.4	UTA	2.4	5.9	0.399	0.6	1.8	0.329	1.8	4.1	0.43	0.45	1.4	1.9	0.769	0.4	2.5	2.9	0.7	0.4	0.1	0.8	1.2	6.7	2017.0	51.0	1154504.0	81.7	1.6	0.1022	9904495.0	56.09938293633983	5.0	1.733397037744865	0.0	False	80.10000000000001	medium
alec burks	2017	0.056355666666666644	0.382079444477638	95	B	2012.0	2018.0	G	78.0	214.0	July 20, 1991	University of Colorado	78.0	SG	26.0	64.0	1059.0	13.1	0.527	0.343	0.3	2.1	18.4	10.3	10.0	1.8	0.6	11.4	22.5	0.2	1.6	1.9	0.084	-2.5	-0.3	-2.8	-0.2	UTA	2.7	6.5	0.411	0.7	2.2	0.331	1.9	4.3	0.452	0.467	1.7	1.9	0.863	0.3	2.7	3.0	1.0	0.6	0.1	0.9	1.2	7.7	2018.0	48.0	1154504.0	81.7	1.6	0.1022	10845506.0	57.386858989496936	6.0	0.7333970377448651	0.0	False	80.10000000000001	medium
alec peters	2017	0.0774791666666667	0.42505501433147846	12	W	2018.0	2018.0	F	81.0	232.0	April 13, 1995	Valparaiso University	403.0	PF	22.0	20.0	225.0	10.7	0.523	0.784	0.135	3.7	14.0	8.8	7.9	0.4	0.7	4.9	15.5	0.2	0.0	0.3	0.055	-0.2	-3.1	-3.3	-0.1	PHO	1.4	3.7	0.378	0.9	2.9	0.31	0.5	0.8	0.625	0.5	0.4	0.5	0.8	0.4	1.5	1.9	0.6	0.1	0.1	0.2	0.7	4.1	2018.0	21.0	4486153.0	78.7	5.2	0.0345	77250.0	16.671497898921558	0.0	4.733397037744865	0.0	True	73.5	tall
alex abrines	2016	0.17113782894736843	0.4325637836491751	76	W	2017.0	2018.0	G-F	78.0	190.0	August 1, 1993		1.0	SG	23.0	68.0	1055.0	10.1	0.56	0.7240000000000001	0.14400000000000002	1.9	7.1	4.5	5.5	1.7	0.6	8.3	15.9	1.2	0.9	2.1	0.096	-0.3	-2.2	-2.5	-0.1	OKC	2.0	5.0	0.393	1.4	3.6	0.381	0.6	1.4	0.426	0.531	0.6	0.7	0.898	0.3	1.0	1.3	0.6	0.5	0.1	0.5	1.7	6.0	2017.0	47.0	1337075.0	74.1	10.2	0.1051	5994764.0	49.4815189286032	0.0	3.733397037744865	0.0	True	63.89999999999999	medium
